Lot URL,Lot #,Est. Retail Value,Sale Date,Year,Make,Model,Engine Type,Cylinders,VIN,Grid/Row,Title Code,Odometer,Odometer Description,Damage Description,Current Bid,My Bid,Item Number,Sale Name,Repair Estimate
https://www.copart.com/lotDetail/62980661,62980661,0 USD,10/28/2021 04:00 pm CEST,2016,LEXUS,GX 460,4.6L  8,8,JTJBM7FX9G5145669,F020,CERTIFICATE OF TITLE (P),"121,996 A",ACTUAL,MINOR DENT/SCRATCHES,"18,500 USD",0 USD,183,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63221381,63221381,0 USD,10/28/2021 04:00 pm CEST,2017,VOLKSWAGEN,PASSAT R-L,1.8L  4,4,1VWDT7A34HC025839,J030,CERTIFICATE OF TITLE (P),"29,277 A",ACTUAL,WATER/FLOOD,"6,800 USD",0 USD,257,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63278921,63278921,0 USD,10/28/2021 04:00 pm CEST,2013,ACURA,MDX TECHNO,3.7L  6,6,2HNYD2H32DH508435,G020,CERTIFICATE OF TITLE (P),"335,834 A",ACTUAL,HAIL,825 USD,0 USD,248,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63385041,63385041,"13,570 USD",10/28/2021 04:00 pm CEST,2017,VOLKSWAGEN,JETTA S,1.4L  4,4,3VW167AJ2HM319117,L040,MV-907A SALVAGE CERTIFICATE,"39,707 N",NOT ACTUAL,SIDE,"2,500 USD",0 USD,259,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63435241,63435241,0 USD,10/28/2021 04:00 pm CEST,2010,TOYOTA,HIGHLANDER,3.5L  6,6,5TDBK3EHXAS001805,G040,CERTIFICATE OF TITLE,"191,982 A",ACTUAL,MINOR DENT/SCRATCHES,175 USD,0 USD,258,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63505381,63505381,0 USD,10/28/2021 04:00 pm CEST,2018,HYUNDAI,KONA SE,2.0L  4,4,KM8K1CAA2JU114165,R010,CERT OF TITLE-SALVAGE,"8,262 A",ACTUAL,ALL OVER,175 USD,0 USD,288,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63534391,63534391,0 USD,10/28/2021 04:00 pm CEST,2012,MAZDA,3 I,2.0L  4,4,JM1BL1V86C1698603,G040,CERTIFICATE OF TITLE,"527,087 A",ACTUAL,MINOR DENT/SCRATCHES,175 USD,0 USD,272,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63535971,63535971,0 USD,10/28/2021 04:00 pm CEST,2011,BMW,328 XI SUL,3.0L  6,6,WBAKF5C50BE586665,K040,CERTIFICATE OF TITLE,"93,349 A",ACTUAL,SIDE,"1,550 USD",0 USD,294,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63536411,63536411,0 USD,10/28/2021 04:00 pm CEST,2014,FORD,ESCAPE SE,1.6L  4,4,1FMCU9GX9EUE45616,REC1,CERTIFICATE OF TITLE (P),0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,200 USD,0 USD,266,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63536581,63536581,0 USD,10/28/2021 04:00 pm CEST,2017,HYUNDAI,ELANTRA SE,2.0L  4,4,5NPD74LF4HH056803,REC1,CERTIFICATE OF TITLE,"135,194 A",ACTUAL,REAR END,"2,100 USD",0 USD,252,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63536661,63536661,0 USD,10/28/2021 04:00 pm CEST,2008,CHEVROLET,SUBURBAN K,5.3L  8,8,1GNFK16368J233776,,CERTIFICATE OF TITLE,"349,542 E",EXEMPT,MINOR DENT/SCRATCHES,200 USD,0 USD,290,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63536801,63536801,0 USD,10/28/2021 04:00 pm CEST,2017,CHEVROLET,CRUZE LS,1.4L  4,4,1G1BC5SM6H7269287,REC1,CERTIFICATE OF TITLE,"123,175 A",ACTUAL,SIDE,175 USD,0 USD,280,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63536901,63536901,0 USD,10/28/2021 04:00 pm CEST,2018,HONDA,HR-V EXL,1.8L  4,4,3CZRU6H7XJM701153,H040,CERTIFICATE OF TITLE,"67,009 A",ACTUAL,FRONT END,"2,850 USD",0 USD,292,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63537081,63537081,0 USD,10/28/2021 04:00 pm CEST,2018,HONDA,ACCORD LX,1.5L  4,4,1HGCV1F16JA255088,G030,CERTIFICATE OF TITLE (P),"84,028 A",ACTUAL,FRONT END,"1,700 USD",0 USD,278,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63537211,63537211,0 USD,10/28/2021 04:00 pm CEST,2008,JEEP,WRANGLER X,3.8L  6,6,1J4FA24198L602826,G040,CERTIFICATE OF TITLE,"174,730 A",ACTUAL,MECHANICAL,450 USD,0 USD,282,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63537401,63537401,0 USD,10/28/2021 04:00 pm CEST,2011,BUICK,ENCLAVE CX,3.6L  6,6,5GAKVBED9BJ394887,H050,CERTIFICATE OF TITLE,"152,476 A",ACTUAL,MINOR DENT/SCRATCHES,175 USD,0 USD,276,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63537601,63537601,0 USD,10/28/2021 04:00 pm CEST,2002,MERCEDES-BENZ,ML 320,3.2L  6,6,4JGAB54E22A327266,G030,CERTIFICATE OF TITLE (P),"248,658 A",ACTUAL,MINOR DENT/SCRATCHES,175 USD,0 USD,262,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63537821,63537821,0 USD,10/28/2021 04:00 pm CEST,2003,TOYOTA,4RUNNER SR,4.0L  6,6,JTEBU14R538007295,G050,CERTIFICATE OF TITLE,"172,293 A",ACTUAL,MINOR DENT/SCRATCHES,"1,550 USD",0 USD,284,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63537931,63537931,0 USD,10/28/2021 04:00 pm CEST,2006,TOYOTA,COROLLA CE,1.8L  4,4,1NXBR32E56Z620932,G030,CERTIFICATE OF TITLE,"283,007 A",ACTUAL,REAR END,225 USD,0 USD,254,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63538011,63538011,0 USD,10/28/2021 04:00 pm CEST,2013,CHEVROLET,EQUINOX LS,2.4L  4,4,2GNFLCEK4D6376640,REC1,CERTIFICATE OF TITLE,"119,046 A",ACTUAL,MINOR DENT/SCRATCHES,550 USD,0 USD,286,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63538171,63538171,0 USD,10/28/2021 04:00 pm CEST,2004,TOYOTA,SIENNA CE,3.3L  6,6,5TDZA23C14S035414,REC1,CERTIFICATE OF TITLE,"174,979 A",ACTUAL,SIDE,550 USD,0 USD,256,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/63538311,63538311,0 USD,10/28/2021 04:00 pm CEST,2014,NISSAN,ALTIMA 2.5,2.5L  4,4,1N4AL3AP6EC116209,G020,CERTIFICATE OF TITLE,"222,135 A",ACTUAL,FRONT END,200 USD,0 USD,260,CT - HARTFORD SPRINGFIELD,0 USD
